user_id,employee_name,role,email,days_active,total_lifetime_hours,total_activity,login_count,unique_pcs,file_access_count,file_copy_count,removable_uploads,removable_downloads,decoy_access_count,after_hours_activity,weekend_activity,email_sent_count,total_email_size,attachment_count,device_activity_count,device_connect_count,device_disconnect_count,device_unique_pcs,device_after_hours,device_weekend_usage,avg_session_duration,window_7_days,window_30_days,baseline_90_days,login_per_day,avg_active_hours_per_day,device_usage_per_day,file_access_per_day,file_copy_per_day,email_sent_per_day,usb_upload_per_day,usb_download_per_day,device_connect_per_day,device_disconnect_per_day,decoy_access_per_day,activity_per_day,actions_per_hour,avg_email_size,connect_disconnect_ratio,drift_7d_vs_30d,drift_30d_vs_90d,anomaly_score,prediction,risk_score,explanation,prediction_label,severity
DNM0275,Derek Noble Mason,HardwareEngineer,Derek.Noble.Mason@dtaa.com,374.0,3499.0,30049.0,453.0,76.0,9165.0,4133.0,3090.0,5208.0,867.0,397.0,34.0,1145.0,263715200.0,259.0,6458.0,3237.0,3221.0,1.0,830.0,242.0,0.26204517,309,1217,3571,1.21,9.36,17.27,24.51,11.05,3.06,8.26,13.93,8.66,8.61,2.32,80.34,8.59,230318.95,1.0,1.09,1.02,-0.7194153886098605,-1,100.0,"Unusual behavior pattern detected (daily file copies, daily USB downloads, daily file accesses).",Anomaly,Critical
MRS0368,Malcolm Russell Sharpe,Director,Malcolm.Russell.Sharpe@dtaa.com,356.0,2824.0,27401.0,356.0,1.0,8054.0,3584.0,2649.0,4635.0,770.0,356.0,0.0,2165.0,510270460.0,474.0,5602.0,2811.0,2791.0,1.0,671.0,0.0,0.23588769,274,1164,3592,1.0,7.93,15.74,22.62,10.07,6.08,7.44,13.02,7.9,7.84,2.16,76.97,9.7,235690.77,1.01,1.01,0.97,-0.7426235080279202,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, daily device disconnections, daily device usage frequency).",Anomaly,Critical
TLK0003,Tallulah Leslie Keith,VicePresident,Tallulah.Leslie.Keith@dtaa.com,362.0,3628.0,17732.0,739.0,32.0,3602.0,570.0,1699.0,980.0,923.0,702.0,12.0,3322.0,1670232600.0,1848.0,6118.0,3068.0,3050.0,1.0,653.0,0.0,0.2428237,318,1244,3591,2.04,10.02,16.9,9.95,1.57,9.18,4.69,2.71,8.48,8.43,2.55,48.98,4.89,502779.2,1.01,1.09,1.04,-0.7046410055186401,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, daily device disconnections, daily device usage frequency).",Anomaly,Critical
AKB2312,Amethyst Kay Byers,Technician,Amethyst.Kay.Byers@dtaa.com,503.0,3561.0,36833.0,521.0,19.0,11306.0,5065.0,3821.0,6457.0,1028.0,507.0,286.0,525.0,102801310.0,117.0,8631.0,4330.0,4301.0,1.0,1166.0,2392.0,0.19566071,317,1302,3877,1.04,7.08,17.16,22.48,10.07,1.04,7.6,12.84,8.61,8.55,2.04,73.23,10.34,195812.02,1.01,1.04,1.01,-0.7587771030789037,-1,100.0,"Unusual behavior pattern detected (weekend device usage, after-hours device usage, intensity of actions per hour).",Anomaly,Critical
JRR0769,Judah Reed Ratliff,TechnicalWriter,Judah.Reed.Ratliff@dtaa.com,356.0,2800.0,28376.0,431.0,69.0,8622.0,3908.0,2951.0,4933.0,738.0,371.0,0.0,1061.0,249231580.0,256.0,6099.0,3055.0,3044.0,1.0,781.0,0.0,0.21272081,256,1102,3270,1.21,7.87,17.13,24.22,10.98,2.98,8.29,13.86,8.58,8.55,2.07,79.71,10.13,234902.55,1.0,0.99,1.01,-0.7801768847497773,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, daily device disconnections, daily device usage frequency).",Anomaly,Critical
PNH1444,Porter Nathaniel Harding,SystemsEngineer,Porter.Nathaniel.Harding@dtaa.com,427.0,3594.0,34126.0,427.0,1.0,10649.0,4830.0,3646.0,6092.0,911.0,198.0,126.0,1467.0,277205660.0,248.0,6817.0,3416.0,3401.0,1.0,40.0,1024.0,0.25022894,305,1207,3759,1.0,8.42,15.96,24.94,11.31,3.44,8.54,14.27,8.0,7.96,2.13,79.92,9.5,188960.92,1.0,1.08,0.96,-0.730743985456651,-1,100.0,"Unusual behavior pattern detected (weekend device usage, daily file copies, daily USB uploads).",Anomaly,Critical
AME1490,Amber Maxine Ellis,StockroomClerk,Amber.Maxine.Ellis@dtaa.com,314.0,2530.0,23638.0,607.0,17.0,7383.0,3228.0,2404.0,4289.0,690.0,402.0,57.0,121.0,60953788.0,63.0,5204.0,2608.0,2596.0,1.0,878.0,264.0,0.2153794,225,1006,2896,1.93,8.06,16.57,23.51,10.28,0.39,7.66,13.66,8.31,8.27,2.2,75.28,9.34,503750.3,1.0,0.96,1.04,-0.7111795683903952,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, daily device disconnections, daily device connections).",Anomaly,Critical
AAP0352,Adria Adrienne Perry,Statistician,Adria.Adrienne.Perry@dtaa.com,356.0,2183.0,4851.0,377.0,22.0,699.0,285.0,219.0,373.0,107.0,362.0,0.0,1116.0,661932160.0,732.0,1420.0,713.0,707.0,1.0,195.0,0.0,0.4644425,90,353,1078,1.06,6.13,3.99,1.96,0.8,3.13,0.62,1.05,2.0,1.99,0.3,13.63,2.22,593129.2,1.01,1.09,0.98,-0.6904036859007605,-1,100.0,"Unusual behavior pattern detected (daily logins, daily file copies, daily USB uploads).",Anomaly,Critical
AKD0272,Aphrodite Kalia Dorsey,AdministrativeAssistant,Aphrodite.Kalia.Dorsey@dtaa.com,357.0,2361.0,18624.0,740.0,81.0,6475.0,2908.0,2242.0,3624.0,609.0,422.0,2.0,1341.0,845583700.0,939.0,872.0,436.0,436.0,1.0,131.0,0.0,0.5130148,182,747,2236,2.07,6.61,2.44,18.14,8.15,3.76,6.28,10.15,1.22,1.22,1.71,52.17,7.89,630562.0,1.0,1.04,1.0,-0.6879093047251789,-1,100.0,"Unusual behavior pattern detected (daily file copies, daily USB downloads, daily USB uploads).",Anomaly,Critical
HGH0727,Haley Gemma Holcomb,SoftwareQualityEngineer,Haley.Gemma.Holcomb@dtaa.com,435.0,3825.0,11153.0,435.0,1.0,1009.0,449.0,314.0,596.0,99.0,446.0,136.0,432.0,89867720.0,90.0,7472.0,3746.0,3726.0,1.0,167.0,1174.0,0.25956044,175,635,1783,1.0,8.79,17.18,2.32,1.03,0.99,0.72,1.37,8.61,8.57,0.23,25.64,2.92,208027.12,1.01,1.18,1.07,-0.7287483581226462,-1,100.0,"Unusual behavior pattern detected (weekend device usage, daily device disconnections, daily device usage frequency).",Anomaly,Critical
