user_id,employee_name,role,email,days_active,total_lifetime_hours,total_activity,login_count,login_per_day,unique_pcs,avg_active_hours_per_day,actions_per_hour,after_hours_activity,weekend_activity,file_access_count,file_copy_count,removable_uploads,removable_downloads,decoy_access_count,avg_email_size,email_sent_count,total_email_size,attachment_count,activity_per_day,device_activity_count,device_connect_count,device_disconnect_count,device_unique_pcs,device_after_hours,device_weekend_usage,device_usage_per_day,connect_disconnect_ratio,avg_session_duration,window_7_days,window_30_days,baseline_90_days,drift_7d_vs_30d,drift_30d_vs_90d,file_access_per_day,file_copy_per_day,email_sent_per_day,usb_upload_per_day,usb_download_per_day,device_connect_per_day,device_disconnect_per_day,decoy_access_per_day
NFP2441,Nicholas Fletcher Pruitt,ITAdmin,Nicholas.Fletcher.Pruitt@dtaa.com,356.0,2797.0,5278.0,1699.0,4.77,920.0,7.86,1.89,2158.0,0.0,102.0,0.0,0.0,0.0,102.0,597162.1,1319.0,787656800.0,892.0,14.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98,423,1223,0.99,1.04,0.29,0.0,3.71,0.0,0.0,0.0,0.0,0.29
ADR1517,Abraham Dante Rodgers,ProductionLineWorker,Abraham.Dante.Rodgers@dtaa.com,356.0,1246.0,1126.0,631.0,1.77,1.0,3.5,0.9,356.0,0.0,12.0,0.0,0.0,0.0,12.0,1270609.4,127.0,161367400.0,151.0,3.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,78,240,0.99,0.98,0.03,0.0,0.36,0.0,0.0,0.0,0.0,0.03
MWB4000,Medge Wilma Blackburn,ProductionLineWorker,Medge.Wilma.Blackburn@dtaa.com,356.0,1014.0,841.0,356.0,1.0,1.0,2.85,0.83,356.0,0.0,2.0,0.0,0.0,0.0,2.0,350924.97,127.0,44567470.0,51.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,63,189,1.02,1.0,0.01,0.0,0.36,0.0,0.0,0.0,0.0,0.01
MLS2856,Meghan Laurel Salazar,ProductionLineWorker,Meghan.Laurel.Salazar@dtaa.com,356.0,1267.0,1133.0,631.0,1.77,1.0,3.56,0.89,355.0,0.0,20.0,0.0,0.0,0.0,20.0,938476.06,127.0,119186456.0,135.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,80,241,1.02,1.0,0.06,0.0,0.36,0.0,0.0,0.0,0.0,0.06
BTR2026,Beau Todd Romero,MechanicalEngineer,Beau.Todd.Romero@dtaa.com,356.0,1653.0,1825.0,356.0,1.0,1.0,4.64,1.1,356.0,0.0,0.0,0.0,0.0,0.0,0.0,30159.51,1113.0,33567536.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,224,670,1.01,1.0,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0
ZCT1009,Zephania Chaim Terry,Manager,Zephania.Chaim.Terry@dtaa.com,356.0,1880.0,2442.0,356.0,1.0,1.0,5.28,1.3,364.0,0.0,0.0,0.0,0.0,0.0,0.0,30050.97,1722.0,51747770.0,0.0,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76,321,986,1.01,0.98,0.0,0.0,4.84,0.0,0.0,0.0,0.0,0.0
SEM1983,Sierra Emily Mendez,MaterialsEngineer,Sierra.Emily.Mendez@dtaa.com,123.0,597.0,644.0,217.0,1.76,1.0,4.85,1.08,0.0,0.0,9.0,0.0,0.0,0.0,9.0,195159.69,418.0,81576744.0,82.0,5.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78,272,794,1.23,1.03,0.07,0.0,3.4,0.0,0.0,0.0,0.0,0.07
BDW1459,Bell Daria White,ComputerScientist,Bell.Daria.White@dtaa.com,356.0,1628.0,1669.0,356.0,1.0,1.0,4.57,1.03,174.0,0.0,0.0,0.0,0.0,0.0,0.0,29936.65,1139.0,34097844.0,0.0,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,229,681,1.03,1.01,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0
FAJ3101,Fulton August Jackson,SystemsEngineer,Fulton.August.Jackson@dtaa.com,356.0,2268.0,5793.0,631.0,1.77,1.0,6.37,2.55,356.0,0.0,995.0,434.0,335.0,554.0,106.0,543527.56,1092.0,593532100.0,700.0,16.27,1396.0,700.0,696.0,1.0,209.0,0.0,3.92,1.01,0.4441451,91,386,1189,1.01,0.97,2.79,1.22,3.07,0.94,1.56,1.97,1.96,0.3
CLR1239,Carl Louis Rice,HardwareEngineer,Carl.Louis.Rice@dtaa.com,182.0,910.0,1102.0,232.0,1.27,47.0,5.0,1.21,187.0,0.0,98.0,0.0,0.0,0.0,98.0,774793.7,585.0,453254300.0,531.0,6.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,238,761,1.28,0.94,0.54,0.0,3.21,0.0,0.0,0.0,0.0,0.54
LOP1708,Lucius Orlando Patton,Manager,Lucius.Orlando.Patton@dtaa.com,356.0,2023.0,7896.0,379.0,1.06,23.0,5.68,3.9,362.0,0.0,2026.0,900.0,652.0,1135.0,239.0,660301.6,1659.0,1095440400.0,1191.0,22.18,783.0,393.0,390.0,1.0,135.0,0.0,2.2,1.01,0.51000714,101,481,1471,0.9,0.98,5.69,2.53,4.66,1.83,3.19,1.1,1.1,0.67
GKK2422,Garth Kenyon Kirkland,SecurityGuard,Garth.Kenyon.Kirkland@dtaa.com,356.0,1863.0,2823.0,641.0,1.8,1.0,5.23,1.52,356.0,0.0,146.0,0.0,0.0,0.0,146.0,738176.4,1680.0,1240136300.0,1322.0,7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,357,1071,1.02,1.0,0.41,0.0,4.72,0.0,0.0,0.0,0.0,0.41
MYB3817,Micah Yoshio Bass,Technician,Micah.Yoshio.Bass@dtaa.com,356.0,1503.0,1406.0,636.0,1.79,1.0,4.22,0.94,356.0,0.0,52.0,0.0,0.0,0.0,52.0,831339.25,362.0,300944800.0,360.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,125,367,0.96,1.02,0.15,0.0,1.02,0.0,0.0,0.0,0.0,0.15
JBO2839,James Bradley Osborn,StockroomClerk,James.Bradley.Osborn@dtaa.com,356.0,1011.0,844.0,356.0,1.0,1.0,2.84,0.83,356.0,0.0,14.0,0.0,0.0,0.0,14.0,930289.4,118.0,109774140.0,108.0,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,66,194,1.1,1.02,0.04,0.0,0.33,0.0,0.0,0.0,0.0,0.04
JTC0941,Jeanette Tallulah Carroll,Technician,Jeanette.Tallulah.Carroll@dtaa.com,356.0,1269.0,1073.0,356.0,1.0,1.0,3.56,0.85,356.0,0.0,0.0,0.0,0.0,0.0,0.0,31071.24,361.0,11216719.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,104,313,1.03,1.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0
IKA2925,Iona Kendall Allison,Technician,Iona.Kendall.Allison@dtaa.com,356.0,1443.0,1235.0,475.0,1.33,104.0,4.05,0.86,374.0,0.0,33.0,0.0,0.0,0.0,33.0,965706.3,353.0,340894340.0,382.0,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,124,365,1.0,1.02,0.09,0.0,0.99,0.0,0.0,0.0,0.0,0.09
JSN1905,Josiah Sloane Neal,Scientist,Josiah.Sloane.Neal@dtaa.com,356.0,1629.0,1470.0,356.0,1.0,1.0,4.58,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29909.8,1114.0,33319516.0,0.0,4.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54,224,680,1.03,0.99,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0
