user_id,employee_name,role,email,days_active,total_lifetime_hours,total_activity,login_count,login_per_day,unique_pcs,avg_active_hours_per_day,actions_per_hour,after_hours_activity,weekend_activity,file_access_count,file_copy_count,removable_uploads,removable_downloads,decoy_access_count,avg_email_size,email_sent_count,total_email_size,attachment_count,activity_per_day,device_activity_count,device_connect_count,device_disconnect_count,device_unique_pcs,device_after_hours,device_weekend_usage,device_usage_per_day,connect_disconnect_ratio,avg_session_duration,window_7_days,window_30_days,baseline_90_days,drift_7d_vs_30d,drift_30d_vs_90d,file_access_per_day,file_copy_per_day,email_sent_per_day,usb_upload_per_day,usb_download_per_day,device_connect_per_day,device_disconnect_per_day,decoy_access_per_day,anomaly_score,prediction,risk_score,explanation,prediction_label,severity
ISR0021,Isabella Samantha Rogers,HumanResourceSpecialist,Isabella.Samantha.Rogers@dtaa.com,356.0,1675.0,2502.0,394.0,1.11,36.0,4.71,1.49,362.0,0.0,411.0,0.0,0.0,0.0,411.0,585475.8,1335.0,781610200.0,950.0,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69,294,884,1.0,1.0,1.15,0.0,3.75,0.0,0.0,0.0,0.0,1.15,-0.5934624671936035,-1,100.0,"Unusual behavior pattern detected (login per day, number of unique PCs accessed, file access per day).",Anomaly,Critical
AME1490,Amber Maxine Ellis,StockroomClerk,Amber.Maxine.Ellis@dtaa.com,314.0,2530.0,23638.0,607.0,1.93,17.0,8.06,9.34,402.0,57.0,7383.0,3228.0,2404.0,4289.0,690.0,503750.3,121.0,60953788.0,63.0,75.28,5204.0,2608.0,2596.0,1.0,878.0,264.0,16.57,1.0,0.2153794,225,1006,2896,0.96,1.04,23.51,10.28,0.39,7.66,13.66,8.31,8.27,2.2,-0.7111795544624329,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, device disconnect per day, device connect per day).",Anomaly,Critical
TLK0003,Tallulah Leslie Keith,VicePresident,Tallulah.Leslie.Keith@dtaa.com,362.0,3628.0,17732.0,739.0,2.04,32.0,10.02,4.89,702.0,12.0,3602.0,570.0,1699.0,980.0,923.0,502779.2,3322.0,1670232600.0,1848.0,48.98,6118.0,3068.0,3050.0,1.0,653.0,0.0,16.9,1.01,0.2428237,318,1244,3591,1.09,1.04,9.95,1.57,9.18,4.69,2.71,8.48,8.43,2.55,-0.7046409845352173,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, device disconnect per day, daily device usage frequency).",Anomaly,Critical
IMC3296,Ifeoma Macey Contreras,ProductionLineWorker,Ifeoma.Macey.Contreras@dtaa.com,487.0,4514.0,39008.0,612.0,1.26,102.0,9.27,8.64,998.0,318.0,12267.0,5456.0,4309.0,6823.0,1135.0,1391335.9,156.0,217048400.0,223.0,80.1,8387.0,4205.0,4182.0,1.0,693.0,2177.0,17.22,1.01,0.27466288,327,1331,3979,1.05,1.0,25.19,11.2,0.32,8.85,14.01,8.63,8.59,2.33,-0.7256118059158325,-1,100.0,"Unusual behavior pattern detected (weekend device usage, usb upload per day, activity per day).",Anomaly,Critical
BJE0351,Blake John English,Engineer,Blake.John.English@dtaa.com,285.0,1995.0,7865.0,500.0,1.75,1.0,7.0,3.94,285.0,8.0,1907.0,839.0,607.0,1114.0,186.0,835511.1,872.0,728565700.0,780.0,27.6,1741.0,873.0,868.0,1.0,276.0,14.0,6.11,1.01,0.3583695,140,553,1484,1.08,1.12,6.69,2.94,3.06,2.13,3.91,3.06,3.05,0.65,-0.6038728952407837,-1,100.0,"Unusual behavior pattern detected (device disconnect per day, daily device usage frequency, device connect per day).",Anomaly,Critical
KKB1088,Kennan Kermit Barnes,SoftwareEngineer,Kennan.Kermit.Barnes@dtaa.com,382.0,1945.0,9961.0,382.0,1.0,1.0,5.09,5.12,382.0,30.0,3284.0,1449.0,1121.0,1837.0,326.0,659346.8,1189.0,783963400.0,857.0,26.08,317.0,159.0,158.0,1.0,6.0,12.0,0.83,1.01,0.64886075,97,458,1373,0.91,1.0,8.6,3.79,3.11,2.93,4.81,0.42,0.41,0.85,-0.6500431299209595,-1,100.0,"Unusual behavior pattern detected (weekend device usage, file copy per day, usb download per day).",Anomaly,Critical
HAG3196,Hall Aladdin Gardner,Mathematician,Hall.Aladdin.Gardner@dtaa.com,437.0,3411.0,34379.0,872.0,2.0,73.0,7.81,10.08,479.0,239.0,10223.0,4614.0,3468.0,5860.0,895.0,215342.1,1361.0,293080600.0,291.0,78.67,7502.0,3758.0,3744.0,1.0,1740.0,1256.0,17.17,1.0,0.19692127,434,1443,4354,1.29,0.99,23.39,10.56,3.11,7.94,13.41,8.6,8.57,2.05,-0.7053543329238892,-1,100.0,"Unusual behavior pattern detected (weekend device usage, after-hours device usage, intensity of actions per hour).",Anomaly,Critical
CRM0139,Charlotte Ramona Maxwell,LabManager,Charlotte.Ramona.Maxwell@dtaa.com,402.0,3741.0,28133.0,570.0,1.42,97.0,9.31,7.52,580.0,98.0,8091.0,3555.0,2712.0,4616.0,763.0,216208.64,1879.0,406256030.0,382.0,69.98,6130.0,3073.0,3057.0,1.0,555.0,344.0,15.25,1.01,0.26753497,276,1161,3468,1.02,1.0,20.13,8.84,4.67,6.75,11.48,7.64,7.6,1.9,-0.6526390314102173,-1,100.0,"Unusual behavior pattern detected (weekend device usage, file copy per day, usb download per day).",Anomaly,Critical
PLJ1771,Pearl Leslie Johnston,ITAdmin,Pearl.Leslie.Johnston@dtaa.com,157.0,1193.0,2250.0,739.0,4.71,432.0,7.6,1.89,898.0,0.0,24.0,1.0,1.0,1.0,22.0,244739.9,582.0,142438620.0,151.0,14.33,4.0,2.0,2.0,2.0,2.0,0.0,0.03,1.0,0.08194444,137,468,1257,1.25,1.12,0.15,0.01,3.71,0.01,0.01,0.01,0.01,0.14,-0.7143718600273132,-1,100.0,"Unusual behavior pattern detected (average device session duration, after-hours system usage, number of unique PCs accessed).",Anomaly,Critical
MRS0368,Malcolm Russell Sharpe,Director,Malcolm.Russell.Sharpe@dtaa.com,356.0,2824.0,27401.0,356.0,1.0,1.0,7.93,9.7,356.0,0.0,8054.0,3584.0,2649.0,4635.0,770.0,235690.77,2165.0,510270460.0,474.0,76.97,5602.0,2811.0,2791.0,1.0,671.0,0.0,15.74,1.01,0.23588769,274,1164,3592,1.01,0.97,22.62,10.07,6.08,7.44,13.02,7.9,7.84,2.16,-0.742623507976532,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, device disconnect per day, daily device usage frequency).",Anomaly,Critical
ATT1191,Angela Teegan Torres,TestEngineer,Angela.Teegan.Torres@dtaa.com,487.0,3855.0,37230.0,487.0,1.0,1.0,7.92,9.66,487.0,252.0,11131.0,5015.0,3720.0,6423.0,988.0,203043.45,1630.0,330960830.0,323.0,76.45,8337.0,4179.0,4158.0,1.0,471.0,2140.0,17.12,1.01,0.22256474,423,1514,4454,1.2,1.02,22.86,10.3,3.35,7.64,13.19,8.58,8.54,2.03,-0.7148494720458984,-1,100.0,"Unusual behavior pattern detected (weekend device usage, file copy per day, usb download per day).",Anomaly,Critical
AAP0352,Adria Adrienne Perry,Statistician,Adria.Adrienne.Perry@dtaa.com,356.0,2183.0,4851.0,377.0,1.06,22.0,6.13,2.22,362.0,0.0,699.0,285.0,219.0,373.0,107.0,593129.2,1116.0,661932160.0,732.0,13.63,1420.0,713.0,707.0,1.0,195.0,0.0,3.99,1.01,0.4644425,90,353,1078,1.09,0.98,1.96,0.8,3.13,0.62,1.05,2.0,1.99,0.3,-0.6904036998748779,-1,100.0,"Unusual behavior pattern detected (login per day, file copy per day, usb upload per day).",Anomaly,Critical
JHK3122,James Harper Kennedy,Physicist,James.Harper.Kennedy@dtaa.com,362.0,3056.0,28641.0,692.0,1.91,11.0,8.44,9.37,453.0,8.0,8611.0,3799.0,2843.0,4922.0,846.0,630278.94,1206.0,760116400.0,825.0,79.12,6115.0,3065.0,3050.0,1.0,1800.0,0.0,16.89,1.0,0.21640593,266,1167,3438,0.98,1.02,23.79,10.49,3.33,7.85,13.6,8.47,8.43,2.34,-0.7866314649581909,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, device disconnect per day, daily device usage frequency).",Anomaly,Critical
ABD3426,Arden Brendan Dorsey,Salesman,Arden.Brendan.Dorsey@dtaa.com,471.0,4049.0,38963.0,942.0,2.0,32.0,8.6,9.62,613.0,323.0,11434.0,5158.0,3936.0,6472.0,1026.0,498761.53,2429.0,1211491700.0,1390.0,82.72,7979.0,4000.0,3979.0,1.0,912.0,1742.0,16.94,1.01,0.21041761,345,1593,5022,0.93,0.95,24.28,10.95,5.16,8.36,13.74,8.49,8.45,2.18,-0.7505308389663696,-1,100.0,"Unusual behavior pattern detected (weekend device usage, file copy per day, usb download per day).",Anomaly,Critical
CJM0273,Christopher Jerome Mueller,ComputerScientist,Christopher.Jerome.Mueller@dtaa.com,507.0,4644.0,40693.0,548.0,1.08,39.0,9.16,8.76,515.0,314.0,12420.0,5664.0,4229.0,7045.0,1146.0,518787.8,1576.0,817609600.0,914.0,80.26,8696.0,4355.0,4341.0,1.0,1124.0,2518.0,17.15,1.0,0.25225613,400,1633,4773,1.05,1.03,24.5,11.17,3.11,8.34,13.9,8.59,8.56,2.26,-0.687960147857666,-1,100.0,"Unusual behavior pattern detected (weekend device usage, after-hours device usage, file copy per day).",Anomaly,Critical
AKB2312,Amethyst Kay Byers,Technician,Amethyst.Kay.Byers@dtaa.com,503.0,3561.0,36833.0,521.0,1.04,19.0,7.08,10.34,507.0,286.0,11306.0,5065.0,3821.0,6457.0,1028.0,195812.02,525.0,102801310.0,117.0,73.23,8631.0,4330.0,4301.0,1.0,1166.0,2392.0,17.16,1.01,0.19566071,317,1302,3877,1.04,1.01,22.48,10.07,1.04,7.6,12.84,8.61,8.55,2.04,-0.7587770819664001,-1,100.0,"Unusual behavior pattern detected (weekend device usage, after-hours device usage, intensity of actions per hour).",Anomaly,Critical
CTB3481,Carlos Tanek Buchanan,Supervisor,Carlos.Tanek.Buchanan@dtaa.com,356.0,3319.0,8688.0,651.0,1.83,17.0,9.32,2.62,567.0,0.0,429.0,202.0,139.0,241.0,49.0,724939.6,353.0,255903660.0,307.0,24.4,6106.0,3061.0,3045.0,1.0,625.0,0.0,17.15,1.01,0.25740469,119,495,1513,1.03,0.98,1.21,0.57,0.99,0.39,0.68,8.6,8.55,0.14,-0.7447605133056641,-1,100.0,"Unusual behavior pattern detected (daily device usage frequency, device disconnect per day, after-hours device usage).",Anomaly,Critical
TVS0520,Theodore Vaughan Stafford,WebDeveloper,Theodore.Vaughan.Stafford@dtaa.com,356.0,3260.0,29373.0,419.0,1.18,64.0,9.16,9.01,384.0,0.0,9342.0,3684.0,3187.0,5117.0,1038.0,544334.9,1103.0,600401340.0,675.0,82.51,6137.0,3077.0,3060.0,1.0,642.0,0.0,17.24,1.01,0.25739086,277,1140,3453,1.04,0.99,26.24,10.35,3.1,8.95,14.37,8.64,8.6,2.92,-0.7138394713401794,-1,100.0,"Unusual behavior pattern detected (usb upload per day, file access per day, usb download per day).",Anomaly,Critical
NJM0440,Nolan Jelani Merritt,PurchasingClerk,Nolan.Jelani.Merritt@dtaa.com,356.0,3013.0,11224.0,748.0,2.1,87.0,8.46,3.73,382.0,0.0,1109.0,496.0,361.0,645.0,103.0,669165.56,1330.0,889990200.0,906.0,31.53,6153.0,3082.0,3071.0,1.0,952.0,0.0,17.28,1.0,0.20097119,169,728,2152,0.99,1.01,3.12,1.39,3.74,1.01,1.81,8.66,8.63,0.29,-0.6123256683349609,-1,100.0,"Unusual behavior pattern detected (file copy per day, device connect per day, device disconnect per day).",Anomaly,Critical
LJC0191,Louis Jarrod Collins,MaterialsEngineer,Louis.Jarrod.Collins@dtaa.com,394.0,2597.0,20041.0,797.0,2.02,81.0,6.59,7.72,811.0,249.0,6910.0,3151.0,2364.0,3933.0,613.0,241650.45,1228.0,296746750.0,282.0,50.87,847.0,425.0,422.0,1.0,134.0,160.0,2.15,1.01,0.5776685,281,839,2363,1.43,1.07,17.54,8.0,3.12,6.0,9.98,1.08,1.07,1.56,-0.7350364923477173,-1,100.0,"Unusual behavior pattern detected (file copy per day, usb upload per day, usb download per day).",Anomaly,Critical
PMH3484,Patience Montana Horton,FieldServiceEngineer,Patience.Montana.Horton@dtaa.com,356.0,3215.0,10170.0,747.0,2.1,101.0,9.03,3.16,383.0,0.0,838.0,334.0,246.0,455.0,137.0,548935.56,1071.0,587910000.0,674.0,28.57,6096.0,3056.0,3040.0,1.0,664.0,0.0,17.12,1.01,0.2306619,145,661,1992,0.94,1.0,2.35,0.94,3.01,0.69,1.28,8.58,8.54,0.38,-0.7267012000083923,-1,100.0,"Unusual behavior pattern detected (device disconnect per day, daily device usage frequency, device connect per day).",Anomaly,Critical
JDM1042,Jacqueline Destiny Myers,SecurityGuard,Jacqueline.Destiny.Myers@dtaa.com,502.0,4721.0,39436.0,1003.0,2.0,22.0,9.4,8.35,701.0,439.0,12296.0,4009.0,3661.0,6793.0,1842.0,506253.47,2367.0,1198302000.0,1357.0,78.56,8606.0,4312.0,4294.0,1.0,758.0,2343.0,17.14,1.0,0.23723193,347,1651,5219,0.9,0.95,24.49,7.99,4.72,7.29,13.53,8.59,8.55,3.67,-0.722568154335022,-1,100.0,"Unusual behavior pattern detected (weekend device usage, after-hours device usage, weekend system usage).",Anomaly,Critical
HIP0148,Hedy Ivana Pennington,Manager,Hedy.Ivana.Pennington@dtaa.com,356.0,2745.0,28933.0,653.0,1.83,20.0,7.71,10.54,362.0,0.0,8567.0,3806.0,2821.0,4899.0,847.0,606915.56,1681.0,1020225000.0,1114.0,81.27,6144.0,3078.0,3066.0,1.0,824.0,0.0,17.26,1.0,0.18816005,293,1240,3676,1.01,1.01,24.06,10.69,4.72,7.92,13.76,8.65,8.61,2.38,-0.6662607789039612,-1,100.0,"Unusual behavior pattern detected (file copy per day, intensity of actions per hour, usb download per day).",Anomaly,Critical
LLT0291,Lawrence Levi Turner,ElectricalEngineer,Lawrence.Levi.Turner@dtaa.com,440.0,3584.0,33608.0,506.0,1.15,1.0,8.15,9.38,567.0,169.0,10354.0,4480.0,3317.0,6045.0,992.0,686794.56,1377.0,945716100.0,996.0,76.38,6962.0,3488.0,3474.0,1.0,1130.0,1170.0,15.82,1.0,0.23342675,355,1365,4104,1.11,1.0,23.53,10.18,3.13,7.54,13.74,7.93,7.9,2.25,-0.7129862308502197,-1,100.0,"Unusual behavior pattern detected (usb download per day, file access per day, file copy per day).",Anomaly,Critical
JRR0769,Judah Reed Ratliff,TechnicalWriter,Judah.Reed.Ratliff@dtaa.com,356.0,2800.0,28376.0,431.0,1.21,69.0,7.87,10.13,371.0,0.0,8622.0,3908.0,2951.0,4933.0,738.0,234902.55,1061.0,249231580.0,256.0,79.71,6099.0,3055.0,3044.0,1.0,781.0,0.0,17.13,1.0,0.21272081,256,1102,3270,0.99,1.01,24.22,10.98,2.98,8.29,13.86,8.58,8.55,2.07,-0.7801768779754639,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, device disconnect per day, daily device usage frequency).",Anomaly,Critical
JSN0214,Jeanette Shafira Newton,ProjectManager,Jeanette.Shafira.Newton@dtaa.com,328.0,2948.0,25708.0,645.0,1.97,55.0,8.99,8.72,360.0,0.0,7572.0,3377.0,2569.0,4292.0,711.0,223682.95,1230.0,275130050.0,262.0,78.38,5663.0,2838.0,2825.0,1.0,833.0,0.0,17.27,1.0,0.2341026,321,1183,3517,1.16,1.01,23.09,10.3,3.75,7.83,13.09,8.65,8.61,2.17,-0.7198517918586731,-1,100.0,"Unusual behavior pattern detected (device disconnect per day, device connect per day, daily device usage frequency).",Anomaly,Critical
VJB1928,Vanna Jaden Brennan,SoftwareDeveloper,Vanna.Jaden.Brennan@dtaa.com,356.0,3002.0,24739.0,356.0,1.0,1.0,8.43,8.24,356.0,0.0,7406.0,3253.0,2399.0,4330.0,677.0,159566.34,1080.0,172331650.0,190.0,69.49,5559.0,2786.0,2773.0,1.0,698.0,0.0,15.62,1.0,0.25205228,237,981,2960,1.03,0.99,20.8,9.14,3.03,6.74,12.16,7.83,7.79,1.9,-0.7451682090759277,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, daily device usage frequency, device disconnect per day).",Anomaly,Critical
